
Label=ph(v(Vout)) vs F
LabelX=F
LabelY=ph(v(Vout))
Data Point Count=1001
F,F,F,ph(v(Vout)),ph(v(Vout))
 1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000, 1.7982780177760077E+002, 0.0000000000000000E+000
 1.0139113857366794E+002, 1.0139113857366794E+002, 0.0000000000000000E+000, 1.7982540627569000E+002, 0.0000000000000000E+000
 1.0280162981264736E+002, 1.0280162981264736E+002, 0.0000000000000000E+000, 1.7982297744961991E+002, 0.0000000000000000E+000
 1.0423174293933043E+002, 1.0423174293933043E+002, 0.0000000000000000E+000, 1.7982051483583027E+002, 0.0000000000000000E+000
 1.0568175092136588E+002, 1.0568175092136588E+002, 0.0000000000000000E+000, 1.7981801796431319E+002, 0.0000000000000000E+000
 1.0715193052376068E+002, 1.0715193052376068E+002, 0.0000000000000000E+000, 1.7981548635852343E+002, 0.0000000000000000E+000
 1.0864256236170660E+002, 1.0864256236170660E+002, 0.0000000000000000E+000, 1.7981291953528745E+002, 0.0000000000000000E+000
 1.1015393095414156E+002, 1.1015393095414156E+002, 0.0000000000000000E+000, 1.7981031700471138E+002, 0.0000000000000000E+000
 1.1168632477805617E+002, 1.1168632477805617E+002, 0.0000000000000000E+000, 1.7980767827008739E+002, 0.0000000000000000E+000
 1.1324003632355578E+002, 1.1324003632355578E+002, 0.0000000000000000E+000, 1.7980500282779917E+002, 0.0000000000000000E+000
 1.1481536214968837E+002, 1.1481536214968837E+002, 0.0000000000000000E+000, 1.7980229016722569E+002, 0.0000000000000000E+000
 1.1641260294104923E+002, 1.1641260294104923E+002, 0.0000000000000000E+000, 1.7979953977064389E+002, 0.0000000000000000E+000
 1.1803206356517308E+002, 1.1803206356517308E+002, 0.0000000000000000E+000, 1.7979675111313000E+002, 0.0000000000000000E+000
 1.1967405313072447E+002, 1.1967405313072447E+002, 0.0000000000000000E+000, 1.7979392366245935E+002, 0.0000000000000000E+000
 1.2133888504649786E+002, 1.2133888504649786E+002, 0.0000000000000000E+000, 1.7979105687900483E+002, 0.0000000000000000E+000
 1.2302687708123831E+002, 1.2302687708123831E+002, 0.0000000000000000E+000, 1.7978815021563409E+002, 0.0000000000000000E+000
 1.2473835142429446E+002, 1.2473835142429446E+002, 0.0000000000000000E+000, 1.7978520311760522E+002, 0.0000000000000000E+000
 1.2647363474711531E+002, 1.2647363474711531E+002, 0.0000000000000000E+000, 1.7978221502246078E+002, 0.0000000000000000E+000
 1.2823305826560235E+002, 1.2823305826560235E+002, 0.0000000000000000E+000, 1.7977918535992066E+002, 0.0000000000000000E+000
 1.3001695780332923E+002, 1.3001695780332923E+002, 0.0000000000000000E+000, 1.7977611355177351E+002, 0.0000000000000000E+000
 1.3182567385564093E+002, 1.3182567385564093E+002, 0.0000000000000000E+000, 1.7977299901176607E+002, 0.0000000000000000E+000
 1.3365955165464445E+002, 1.3365955165464445E+002, 0.0000000000000000E+000, 1.7976984114549188E+002, 0.0000000000000000E+000
 1.3551894123510385E+002, 1.3551894123510385E+002, 0.0000000000000000E+000, 1.7976663935027744E+002, 0.0000000000000000E+000
 1.3740419750125179E+002, 1.3740419750125179E+002, 0.0000000000000000E+000, 1.7976339301506775E+002, 0.0000000000000000E+000
 1.3931568029453058E+002, 1.3931568029453058E+002, 0.0000000000000000E+000, 1.7976010152030955E+002, 0.0000000000000000E+000
 1.4125375446227571E+002, 1.4125375446227571E+002, 0.0000000000000000E+000, 1.7975676423783324E+002, 0.0000000000000000E+000
 1.4321878992735463E+002, 1.4321878992735463E+002, 0.0000000000000000E+000, 1.7975338053073321E+002, 0.0000000000000000E+000
 1.4521116175877452E+002, 1.4521116175877452E+002, 0.0000000000000000E+000, 1.7974994975324628E+002, 0.0000000000000000E+000
 1.4723125024327220E+002, 1.4723125024327220E+002, 0.0000000000000000E+000, 1.7974647125062876E+002, 0.0000000000000000E+000
 1.4927944095789994E+002, 1.4927944095789994E+002, 0.0000000000000000E+000, 1.7974294435903144E+002, 0.0000000000000000E+000
 1.5135612484362116E+002, 1.5135612484362116E+002, 0.0000000000000000E+000, 1.7973936840537334E+002, 0.0000000000000000E+000
 1.5346169827992981E+002, 1.5346169827992981E+002, 0.0000000000000000E+000, 1.7973574270721303E+002, 0.0000000000000000E+000
 1.5559656316050783E+002, 1.5559656316050783E+002, 0.0000000000000000E+000, 1.7973206657261886E+002, 0.0000000000000000E+000
 1.5776112696993528E+002, 1.5776112696993528E+002, 0.0000000000000000E+000, 1.7972833930003705E+002, 0.0000000000000000E+000
 1.5995580286146730E+002, 1.5995580286146730E+002, 0.0000000000000000E+000, 1.7972456017815773E+002, 0.0000000000000000E+000
 1.6218100973589344E+002, 1.6218100973589344E+002, 0.0000000000000000E+000, 1.7972072848577972E+002, 0.0000000000000000E+000
 1.6443717232149362E+002, 1.6443717232149362E+002, 0.0000000000000000E+000, 1.7971684349167285E+002, 0.0000000000000000E+000
 1.6672472125510674E+002, 1.6672472125510674E+002, 0.0000000000000000E+000, 1.7971290445443867E+002, 0.0000000000000000E+000
 1.6904409316432691E+002, 1.6904409316432691E+002, 0.0000000000000000E+000, 1.7970891062236919E+002, 0.0000000000000000E+000
 1.7139573075084306E+002, 1.7139573075084306E+002, 0.0000000000000000E+000, 1.7970486123330369E+002, 0.0000000000000000E+000
 1.7378008287493810E+002, 1.7378008287493810E+002, 0.0000000000000000E+000, 1.7970075551448343E+002, 0.0000000000000000E+000
 1.7619760464116351E+002, 1.7619760464116351E+002, 0.0000000000000000E+000, 1.7969659268240437E+002, 0.0000000000000000E+000
 1.7864875748520569E+002, 1.7864875748520569E+002, 0.0000000000000000E+000, 1.7969237194266807E+002, 0.0000000000000000E+000
 1.8113400926196090E+002, 1.8113400926196090E+002, 0.0000000000000000E+000, 1.7968809248983015E+002, 0.0000000000000000E+000
 1.8365383433483532E+002, 1.8365383433483532E+002, 0.0000000000000000E+000, 1.7968375350724699E+002, 0.0000000000000000E+000
 1.8620871366628745E+002, 1.8620871366628745E+002, 0.0000000000000000E+000, 1.7967935416692012E+002, 0.0000000000000000E+000
 1.8879913490963008E+002, 1.8879913490963008E+002, 0.0000000000000000E+000, 1.7967489362933853E+002, 0.0000000000000000E+000
 1.9142559250210934E+002, 1.9142559250210934E+002, 0.0000000000000000E+000, 1.7967037104331862E+002, 0.0000000000000000E+000
 1.9408858775927860E+002, 1.9408858775927860E+002, 0.0000000000000000E+000, 1.7966578554584240E+002, 0.0000000000000000E+000
 1.9678862897068529E+002, 1.9678862897068529E+002, 0.0000000000000000E+000, 1.7966113626189278E+002, 0.0000000000000000E+000
 1.9952623149688881E+002, 1.9952623149688881E+002, 0.0000000000000000E+000, 1.7965642230428719E+002, 0.0000000000000000E+000
 2.0230191786782805E+002, 2.0230191786782805E+002, 0.0000000000000000E+000, 1.7965164277350854E+002, 0.0000000000000000E+000
 2.0511621788255746E+002, 2.0511621788255746E+002, 0.0000000000000000E+000, 1.7964679675753396E+002, 0.0000000000000000E+000
 2.0796966871037051E+002, 2.0796966871037051E+002, 0.0000000000000000E+000, 1.7964188333166109E+002, 0.0000000000000000E+000
 2.1086281499332992E+002, 2.1086281499332992E+002, 0.0000000000000000E+000, 1.7963690155833217E+002, 0.0000000000000000E+000
 2.1379620895022421E+002, 2.1379620895022421E+002, 0.0000000000000000E+000, 1.7963185048695550E+002, 0.0000000000000000E+000
 2.1677041048197052E+002, 2.1677041048197052E+002, 0.0000000000000000E+000, 1.7962672915372440E+002, 0.0000000000000000E+000
 2.1978598727848356E+002, 2.1978598727848356E+002, 0.0000000000000000E+000, 1.7962153658143384E+002, 0.0000000000000000E+000
 2.2284351492703146E+002, 2.2284351492703146E+002, 0.0000000000000000E+000, 1.7961627177929455E+002, 0.0000000000000000E+000
 2.2594357702209891E+002, 2.2594357702209891E+002, 0.0000000000000000E+000, 1.7961093374274424E+002, 0.0000000000000000E+000
 2.2908676527677846E+002, 2.2908676527677846E+002, 0.0000000000000000E+000, 1.7960552145325659E+002, 0.0000000000000000E+000
