
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
 1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000, 6.0302246034527940E+001, 0.0000000000000000E+000
 1.0139113857366794E+002, 1.0139113857366794E+002, 0.0000000000000000E+000, 6.0302244972501704E+001, 0.0000000000000000E+000
 1.0280162981264736E+002, 1.0280162981264736E+002, 0.0000000000000000E+000, 6.0302243880721811E+001, 0.0000000000000000E+000
 1.0423174293933043E+002, 1.0423174293933043E+002, 0.0000000000000000E+000, 6.0302242758354609E+001, 0.0000000000000000E+000
 1.0568175092136588E+002, 1.0568175092136588E+002, 0.0000000000000000E+000, 6.0302241604543106E+001, 0.0000000000000000E+000
 1.0715193052376068E+002, 1.0715193052376068E+002, 0.0000000000000000E+000, 6.0302240418406399E+001, 0.0000000000000000E+000
 1.0864256236170660E+002, 1.0864256236170660E+002, 0.0000000000000000E+000, 6.0302239199038880E+001, 0.0000000000000000E+000
 1.1015393095414156E+002, 1.1015393095414156E+002, 0.0000000000000000E+000, 6.0302237945509290E+001, 0.0000000000000000E+000
 1.1168632477805617E+002, 1.1168632477805617E+002, 0.0000000000000000E+000, 6.0302236656861076E+001, 0.0000000000000000E+000
 1.1324003632355578E+002, 1.1324003632355578E+002, 0.0000000000000000E+000, 6.0302235332110115E+001, 0.0000000000000000E+000
 1.1481536214968837E+002, 1.1481536214968837E+002, 0.0000000000000000E+000, 6.0302233970244956E+001, 0.0000000000000000E+000
 1.1641260294104923E+002, 1.1641260294104923E+002, 0.0000000000000000E+000, 6.0302232570225826E+001, 0.0000000000000000E+000
 1.1803206356517308E+002, 1.1803206356517308E+002, 0.0000000000000000E+000, 6.0302231130983806E+001, 0.0000000000000000E+000
 1.1967405313072447E+002, 1.1967405313072447E+002, 0.0000000000000000E+000, 6.0302229651419793E+001, 0.0000000000000000E+000
 1.2133888504649786E+002, 1.2133888504649786E+002, 0.0000000000000000E+000, 6.0302228130404664E+001, 0.0000000000000000E+000
 1.2302687708123831E+002, 1.2302687708123831E+002, 0.0000000000000000E+000, 6.0302226566776881E+001, 0.0000000000000000E+000
 1.2473835142429446E+002, 1.2473835142429446E+002, 0.0000000000000000E+000, 6.0302224959342624E+001, 0.0000000000000000E+000
 1.2647363474711531E+002, 1.2647363474711531E+002, 0.0000000000000000E+000, 6.0302223306874495E+001, 0.0000000000000000E+000
 1.2823305826560235E+002, 1.2823305826560235E+002, 0.0000000000000000E+000, 6.0302221608111111E+001, 0.0000000000000000E+000
 1.3001695780332923E+002, 1.3001695780332923E+002, 0.0000000000000000E+000, 6.0302219861755347E+001, 0.0000000000000000E+000
 1.3182567385564093E+002, 1.3182567385564093E+002, 0.0000000000000000E+000, 6.0302218066473912E+001, 0.0000000000000000E+000
 1.3365955165464445E+002, 1.3365955165464445E+002, 0.0000000000000000E+000, 6.0302216220896099E+001, 0.0000000000000000E+000
 1.3551894123510385E+002, 1.3551894123510385E+002, 0.0000000000000000E+000, 6.0302214323612596E+001, 0.0000000000000000E+000
 1.3740419750125179E+002, 1.3740419750125179E+002, 0.0000000000000000E+000, 6.0302212373175365E+001, 0.0000000000000000E+000
 1.3931568029453058E+002, 1.3931568029453058E+002, 0.0000000000000000E+000, 6.0302210368094997E+001, 0.0000000000000000E+000
 1.4125375446227571E+002, 1.4125375446227571E+002, 0.0000000000000000E+000, 6.0302208306840434E+001, 0.0000000000000000E+000
 1.4321878992735463E+002, 1.4321878992735463E+002, 0.0000000000000000E+000, 6.0302206187838408E+001, 0.0000000000000000E+000
 1.4521116175877452E+002, 1.4521116175877452E+002, 0.0000000000000000E+000, 6.0302204009470614E+001, 0.0000000000000000E+000
 1.4723125024327220E+002, 1.4723125024327220E+002, 0.0000000000000000E+000, 6.0302201770074426E+001, 0.0000000000000000E+000
 1.4927944095789994E+002, 1.4927944095789994E+002, 0.0000000000000000E+000, 6.0302199467939843E+001, 0.0000000000000000E+000
 1.5135612484362116E+002, 1.5135612484362116E+002, 0.0000000000000000E+000, 6.0302197101309112E+001, 0.0000000000000000E+000
 1.5346169827992981E+002, 1.5346169827992981E+002, 0.0000000000000000E+000, 6.0302194668375641E+001, 0.0000000000000000E+000
 1.5559656316050783E+002, 1.5559656316050783E+002, 0.0000000000000000E+000, 6.0302192167281788E+001, 0.0000000000000000E+000
 1.5776112696993528E+002, 1.5776112696993528E+002, 0.0000000000000000E+000, 6.0302189596117785E+001, 0.0000000000000000E+000
 1.5995580286146730E+002, 1.5995580286146730E+002, 0.0000000000000000E+000, 6.0302186952921140E+001, 0.0000000000000000E+000
 1.6218100973589344E+002, 1.6218100973589344E+002, 0.0000000000000000E+000, 6.0302184235673593E+001, 0.0000000000000000E+000
 1.6443717232149362E+002, 1.6443717232149362E+002, 0.0000000000000000E+000, 6.0302181442300331E+001, 0.0000000000000000E+000
 1.6672472125510674E+002, 1.6672472125510674E+002, 0.0000000000000000E+000, 6.0302178570669227E+001, 0.0000000000000000E+000
 1.6904409316432691E+002, 1.6904409316432691E+002, 0.0000000000000000E+000, 6.0302175618587519E+001, 0.0000000000000000E+000
 1.7139573075084306E+002, 1.7139573075084306E+002, 0.0000000000000000E+000, 6.0302172583801607E+001, 0.0000000000000000E+000
 1.7378008287493810E+002, 1.7378008287493810E+002, 0.0000000000000000E+000, 6.0302169463994453E+001, 0.0000000000000000E+000
 1.7619760464116351E+002, 1.7619760464116351E+002, 0.0000000000000000E+000, 6.0302166256783920E+001, 0.0000000000000000E+000
 1.7864875748520569E+002, 1.7864875748520569E+002, 0.0000000000000000E+000, 6.0302162959721961E+001, 0.0000000000000000E+000
 1.8113400926196090E+002, 1.8113400926196090E+002, 0.0000000000000000E+000, 6.0302159570290868E+001, 0.0000000000000000E+000
 1.8365383433483532E+002, 1.8365383433483532E+002, 0.0000000000000000E+000, 6.0302156085903242E+001, 0.0000000000000000E+000
 1.8620871366628745E+002, 1.8620871366628745E+002, 0.0000000000000000E+000, 6.0302152503899151E+001, 0.0000000000000000E+000
 1.8879913490963008E+002, 1.8879913490963008E+002, 0.0000000000000000E+000, 6.0302148821543504E+001, 0.0000000000000000E+000
 1.9142559250210934E+002, 1.9142559250210934E+002, 0.0000000000000000E+000, 6.0302145036025266E+001, 0.0000000000000000E+000
 1.9408858775927860E+002, 1.9408858775927860E+002, 0.0000000000000000E+000, 6.0302141144454005E+001, 0.0000000000000000E+000
 1.9678862897068529E+002, 1.9678862897068529E+002, 0.0000000000000000E+000, 6.0302137143859220E+001, 0.0000000000000000E+000
 1.9952623149688881E+002, 1.9952623149688881E+002, 0.0000000000000000E+000, 6.0302133031186173E+001, 0.0000000000000000E+000
 2.0230191786782805E+002, 2.0230191786782805E+002, 0.0000000000000000E+000, 6.0302128803295560E+001, 0.0000000000000000E+000
 2.0511621788255746E+002, 2.0511621788255746E+002, 0.0000000000000000E+000, 6.0302124456959277E+001, 0.0000000000000000E+000
 2.0796966871037051E+002, 2.0796966871037051E+002, 0.0000000000000000E+000, 6.0302119988859140E+001, 0.0000000000000000E+000
 2.1086281499332992E+002, 2.1086281499332992E+002, 0.0000000000000000E+000, 6.0302115395584153E+001, 0.0000000000000000E+000
 2.1379620895022421E+002, 2.1379620895022421E+002, 0.0000000000000000E+000, 6.0302110673627965E+001, 0.0000000000000000E+000
 2.1677041048197052E+002, 2.1677041048197052E+002, 0.0000000000000000E+000, 6.0302105819385119E+001, 0.0000000000000000E+000
 2.1978598727848356E+002, 2.1978598727848356E+002, 0.0000000000000000E+000, 6.0302100829150135E+001, 0.0000000000000000E+000
 2.2284351492703146E+002, 2.2284351492703146E+002, 0.0000000000000000E+000, 6.0302095699113380E+001, 0.0000000000000000E+000
 2.2594357702209891E+002, 2.2594357702209891E+002, 0.0000000000000000E+000, 6.0302090425358003E+001, 0.0000000000000000E+000
 2.2908676527677846E+002, 2.2908676527677846E+002, 0.0000000000000000E+000, 6.0302085003858352E+001, 0.0000000000000000E+000
 2.3227367963571189E+002, 2.3227367963571189E+002, 0.0000000000000000E+000, 6.0302079430475274E+001, 0.0000000000000000E+000
 2.3550492838960218E+002, 2.3550492838960218E+002, 0.0000000000000000E+000, 6.0302073700954082E+001, 0.0000000000000000E+000
 2.3878112829131902E+002, 2.3878112829131902E+002, 0.0000000000000000E+000, 6.0302067810920818E+001, 0.0000000000000000E+000
 2.4210290467361912E+002, 2.4210290467361912E+002, 0.0000000000000000E+000, 6.0302061755878931E+001, 0.0000000000000000E+000
 2.4547089156850438E+002, 2.4547089156850438E+002, 0.0000000000000000E+000, 6.0302055531206292E+001, 0.0000000000000000E+000
 2.4888573182824047E+002, 2.4888573182824047E+002, 0.0000000000000000E+000, 6.0302049132150366E+001, 0.0000000000000000E+000
 2.5234807724805890E+002, 2.5234807724805890E+002, 0.0000000000000000E+000, 6.0302042553826539E+001, 0.0000000000000000E+000
 2.5585858869056605E+002, 2.5585858869056605E+002, 0.0000000000000000E+000, 6.0302035791212809E+001, 0.0000000000000000E+000
 2.5941793621188293E+002, 2.5941793621188293E+002, 0.0000000000000000E+000, 6.0302028839146288E+001, 0.0000000000000000E+000
 2.6302679918953976E+002, 2.6302679918953976E+002, 0.0000000000000000E+000, 6.0302021692320452E+001, 0.0000000000000000E+000
 2.6668586645214958E+002, 2.6668586645214958E+002, 0.0000000000000000E+000, 6.0302014345279289E+001, 0.0000000000000000E+000
 2.7039583641088603E+002, 2.7039583641088603E+002, 0.0000000000000000E+000, 6.0302006792414176E+001, 0.0000000000000000E+000
 2.7415741719278998E+002, 2.7415741719278998E+002, 0.0000000000000000E+000, 6.0301999027959553E+001, 0.0000000000000000E+000
 2.7797132677593066E+002, 2.7797132677593066E+002, 0.0000000000000000E+000, 6.0301991045988117E+001, 0.0000000000000000E+000
 2.8183829312644724E+002, 2.8183829312644724E+002, 0.0000000000000000E+000, 6.0301982840406566E+001, 0.0000000000000000E+000
 2.8575905433749659E+002, 2.8575905433749659E+002, 0.0000000000000000E+000, 6.0301974404950897E+001, 0.0000000000000000E+000
 2.8973435877013424E+002, 2.8973435877013424E+002, 0.0000000000000000E+000, 6.0301965733182314E+001, 0.0000000000000000E+000
 2.9376496519615506E+002, 2.9376496519615506E+002, 0.0000000000000000E+000, 6.0301956818480932E+001, 0.0000000000000000E+000
 2.9785164294292099E+002, 2.9785164294292099E+002, 0.0000000000000000E+000, 6.0301947654041932E+001, 0.0000000000000000E+000
 3.0199517204020367E+002, 3.0199517204020367E+002, 0.0000000000000000E+000, 6.0301938232868942E+001, 0.0000000000000000E+000
 3.0619634336906984E+002, 3.0619634336906984E+002, 0.0000000000000000E+000, 6.0301928547771098E+001, 0.0000000000000000E+000
 3.1045595881283771E+002, 3.1045595881283771E+002, 0.0000000000000000E+000, 6.0301918591354934E+001, 0.0000000000000000E+000
 3.1477483141013380E+002, 3.1477483141013380E+002, 0.0000000000000000E+000, 6.0301908356020903E+001, 0.0000000000000000E+000
 3.1915378551007842E+002, 3.1915378551007842E+002, 0.0000000000000000E+000, 6.0301897833955813E+001, 0.0000000000000000E+000
 3.2359365692963058E+002, 3.2359365692963058E+002, 0.0000000000000000E+000, 6.0301887017127996E+001, 0.0000000000000000E+000
 3.2809529311312139E+002, 3.2809529311312139E+002, 0.0000000000000000E+000, 6.0301875897280510E+001, 0.0000000000000000E+000
 3.3265955329400691E+002, 3.3265955329400691E+002, 0.0000000000000000E+000, 6.0301864465925746E+001, 0.0000000000000000E+000
 3.3728730865887132E+002, 3.3728730865887132E+002, 0.0000000000000000E+000, 6.0301852714338352E+001, 0.0000000000000000E+000
 3.4197944251371138E+002, 3.4197944251371138E+002, 0.0000000000000000E+000, 6.0301840633548132E+001, 0.0000000000000000E+000
 3.4673685045253421E+002, 3.4673685045253421E+002, 0.0000000000000000E+000, 6.0301828214333646E+001, 0.0000000000000000E+000
 3.5156044052830077E+002, 3.5156044052830077E+002, 0.0000000000000000E+000, 6.0301815447215887E+001, 0.0000000000000000E+000
 3.5645113342624694E+002, 3.5645113342624694E+002, 0.0000000000000000E+000, 6.0301802322449866E+001, 0.0000000000000000E+000
 3.6140986263961605E+002, 3.6140986263961605E+002, 0.0000000000000000E+000, 6.0301788830017671E+001, 0.0000000000000000E+000
 3.6643757464783607E+002, 3.6643757464783607E+002, 0.0000000000000000E+000, 6.0301774959621184E+001, 0.0000000000000000E+000
 3.7153522909717543E+002, 3.7153522909717543E+002, 0.0000000000000000E+000, 6.0301760700673825E+001, 0.0000000000000000E+000
 3.7670379898391184E+002, 3.7670379898391184E+002, 0.0000000000000000E+000, 6.0301746042292301E+001, 0.0000000000000000E+000
 3.8194427084004963E+002, 3.8194427084004963E+002, 0.0000000000000000E+000, 6.0301730973288656E+001, 0.0000000000000000E+000
 3.8725764492162034E+002, 3.8725764492162034E+002, 0.0000000000000000E+000, 6.0301715482161661E+001, 0.0000000000000000E+000
 3.9264493539960307E+002, 3.9264493539960307E+002, 0.0000000000000000E+000, 6.0301699557088462E+001, 0.0000000000000000E+000
 3.9810717055350057E+002, 3.9810717055350057E+002, 0.0000000000000000E+000, 6.0301683185914250E+001, 0.0000000000000000E+000
 4.0364539296760836E+002, 4.0364539296760836E+002, 0.0000000000000000E+000, 6.0301666356144786E+001, 0.0000000000000000E+000
 4.0926065973001431E+002, 4.0926065973001431E+002, 0.0000000000000000E+000, 6.0301649054935581E+001, 0.0000000000000000E+000
 4.1495404263436649E+002, 4.1495404263436649E+002, 0.0000000000000000E+000, 6.0301631269082080E+001, 0.0000000000000000E+000
 4.2072662838444774E+002, 4.2072662838444774E+002, 0.0000000000000000E+000, 6.0301612985010735E+001, 0.0000000000000000E+000
 4.2657951880159641E+002, 4.2657951880159641E+002, 0.0000000000000000E+000, 6.0301594188767602E+001, 0.0000000000000000E+000
